Título PT-BR,Descrição,Nota TMDb,Data Lançamento,Gêneros,Duração (min)
Fugindo do Inferno,"Em 1943 os nazistas decidem transferir os prisioneiros de guerra militares, que têm maior incidência em tentativas de fugas, para o mesmo campo, que foi projetado para impedir qualquer tipo de evasão. Mas isto foi um erro, pois apesar dos prisioneiros gozarem de certos privilégios, cada um era o melhor na sua ""especialidade"" e não pretendiam ficar presos até o final da guerra. Logo idealizam um audacioso plano de fuga, que previa a construção de três túneis, mas a idéia não era retirar do campo alguns prisioneiros mas sim duzentos e cinqüenta.",7.946,1963-07-03,"Aventura, Drama, Guerra",172
"Yojimbo, o Guarda-Costas","Um ronin sem nome, ou samurai sem mestre, entra em uma pequena vila no Japão feudal, onde dois empresários rivais lutam pelo controle do comércio local de jogos de azar. Assumindo o nome de Sanjuro Kuwabatake, o ronin convence o comerciante de seda Tazaemon e o comerciante de saquê Tokuemon a contratá-lo como guarda-costas pessoal, e então habilmente desencadeia uma guerra de gangues em grande escala entre os dois homens ambiciosos e inescrupulosos.",8.098,1961-04-25,"Drama, Thriller",110
Quanto Mais Quente Melhor,"Em 1929, Joe e Jerry, dois músicos desempregados, testemunham sem querer o cruel Massacre do Dia de São Valentim. Desesperados para não serem pegos pelos gangsters, eles se disfarçam de mulheres e entram para um grupo feminino musical, que está indo para Miami fazer shows. Joe se apaixona por Sugar, a garota problema do grupo, enquanto um milionário se apaixona pelo disfarce de Jerry, tudo isso em meio a uma convenção de criminosos, que também está acontecendo em Miami.",8.096,1959-03-19,"Comédia, Romance, Crime",122
A Ponte do Rio Kwai,"Depois de liquidar suas diferenças com o comandante de um campo de prisioneiros japonês, um coronel britânico coopera para supervisionar seus homens na construção de uma ponte ferroviária para os seus captores - enquanto permanece alheio aos planos dos Aliados para destruí-la.",7.811,1957-10-11,"Drama, História, Guerra",161
Disque M para Matar,"Em Londres, um ex-tenista profissional decide matar sua mulher, para poder herdar seu dinheiro e também como vingança por ela ter tido um affair um ano antes, com um escritor que vivia nos Estados Unidos mas que no momento está na cidade. Ele chantageia um colega de faculdade para estrangulá-la, dando a entender que o crime teria sido cometido por um ladrão. Mas quando algo sai muito errado, ele vê uma maneira de dar um rumo aos acontecimentos em proveito próprio.",8.022,1954-05-29,"Thriller, Crime",105
O Salário do Medo,"Quando uma explosão em um poço de petróleo ameaça centenas de vidas, uma equipe de salvamento é chamada para cruzar o deserto com um carregamento de nitroglicerina.",6.23,2024-03-28,Ação,105
Umberto D.,"Na Itália do início dos anos 1950, enquanto a economia do país renasce, os idosos sofrem com as miseráveis pensões dadas pelo governo. Em Roma, Umberto Domenico Ferrari, um funcionário público aposentado, é despejado por não conseguir pagar o aluguel de seu quarto. Na companhia de seu único amigo, o cachorrinho Flik, Umberto vaga pelas ruas, buscando apenas um objetivo: viver com dignidade.",7.9,1952-01-20,Drama,91
Rashomon,"No Japão do século XI, um lenhador, um sacerdote e um camponês procuram refúgio de uma tempestade nas ruínas de pedra do Portão de Rashomon. O sacerdote conta detalhes de um julgamento que testemunhou, envolvendo o estupro de Masako e o assassinato do marido dela, Takehiro, um samurai. Em flashback é mostrado o julgamento do bandido Tajomaru, onde acontecem quatro testemunhos, inclusive de Takehiro através de um médium. Cada um é uma ""verdade"", que entra em conflito com as outras.",8.072,1950-08-26,"Crime, Drama, Mistério",88
A Malvada,"Margo Channing é uma reconhecida atriz da Broadway que está envelhecendo e Eve Harrington é uma jovem fã que consegue se infiltrar na vida de Channing e que acaba ameaçando sua carreira e relacionamentos pessoais. Filme baseado na obra The Wisdom of Eve, de Mary Orr.",8.08,1950-11-09,Drama,138
O Tesouro de Sierra Madre,"Dois vagabundos e um garimpeiro grisalho descobrem um verdadeiro tesouro em ouro, mas a ganância e a paranoia vai rapidamente se apoderar de todos neste clássico sobre o poder da riqueza escondida nas montanhas e a avareza que se esconde no coração dos homens. e 12.",7.95,1948-01-15,"Aventura, Drama, Faroeste",126
Ser ou Não Ser,"Durante a Segunda Guerra Mundial, na Polônia ocupada pelos nazistas, um grupo de atores de teatro deve ajudar a evitar que um espião, que possui informação sobre a resistência polonesa, entregue-a aos alemães.",7.825,1942-03-06,"Comédia, Guerra, Romance",99
...E o Vento Levou,"Scarlett O'Hara é uma jovem mimada que consegue tudo o que quer. No entanto, algo falta em sua vida: o amor de Ashley Wilkes, um nobre sulista que deve se casar com a sua prima Melanie. Tudo muda quando a Guerra Civil americana explode e Scarlett precisa lutar para sobreviver e manter a fazenda da família.",7.9,1939-12-15,"Drama, Guerra, Romance",238
Em Busca do Ouro,"No Alasca, Carlitos (Charles Chaplin) tenta a sorte como garimpeiro em meio a corrida do ouro de 1898. Lá ele conhece o gordo McKay (Mack Swaim), com quem cria bastante confusão após uma tempestade de neve, e se apaixona por uma dançarina (Georgia Hale).",7.98,1925-07-13,"Aventura, Comédia, Drama",95
Bancando o Águia,Um projecionista de cinema que sonha em ser detetive coloca suas escassas habilidades em prática quando é incriminado por um rival por roubar o relógio de bolso do pai de sua namorada.,8.063,1924-04-17,"Ação, Comédia, Mistério",45
Retrato de uma Jovem em Chamas,"França, 1760. Marianne é contratada para pintar o retrato de casamento de Héloïse, uma jovem mulher que acabou de deixar o convento. Por ela ser uma noiva relutante, Marianne chega sob o disfarce de companhia, observando Héloïse de dia e a pintando secretamente à noite. Conforme as duas mulheres se aproximam, a intimidade e a atração crescem, enquanto compartilham os primeiros e últimos momentos de liberdade de Héloïse, antes do casamento iminente. O retrato de Héloïse logo se torna um ato colaborativo e o testamento do amor delas.",8.109,2019-09-18,"Drama, Romance, História",122
A Voz do Silêncio,"Nishimiya Shouko é uma estudante com deficiência auditiva. Durante o ensino fundamental, após se transferir para uma nova escola, Shouko passa a ser alvo de bullying e em pouco tempo precisa se transferir. O que ela não esperava é que alguns anos depois, Ishida Shouya, um dos valentões que tanto a fez sofrer no passado surgisse de novo em sua vida com um novo propósito.",8.386,2016-09-17,"Animação, Drama, Romance",130
Três Anúncios Para Um Crime,"Inconformada com a ineficácia da polícia em encontrar o culpado pelo brutal assassinato de sua filha, Mildred Hayes decide chamar atenção para o caso não solucionado alugando três outdoors em uma estrada raramente usada. A inesperada atitude repercute em toda a cidade e suas consequências afetam várias pessoas, especialmente a própria Mildred e o Delegado Willoughby, responsável pela investigação.",8.1,2017-12-01,"Crime, Drama",115
Meu Eterno Talvez,"A famosa chef Sasha e o músico Marcus se reencontram depois de 15 anos. A atração ainda existe, mas não vai ser fácil para eles se adaptarem à vida um do outro.",6.636,2019-05-31,"Romance, Comédia",102
Klaus,"Em Smeerensburg, remota ilha localizada acima do Círculo Ártico, Jesper é um estudante da Academia Postal que enfrenta um sério problema: os habitantes da cidade brigam o tempo todo, sem demonstrar o menor interesse por cartas. Prestes a desistir da profissão, ele encontra apoio na professora Alva e no misterioso carpinteiro Klaus, que vive sozinho em sua casa repleta de brinquedos feitos a mão.",8.239,2019-11-08,"Animação, Família, Aventura, Comédia, Fantasia",97
Crematório,"Às margens do rio Ganges, na Índia, quatro pessoas enfrentam preconceitos, a rigidez dos padrões morais e o sistema de castas em meio a tragédias pessoais.",7.0,2015-07-24,Drama,109
A Criada,"Coreia do Sul, anos 1930. Durante a ocupação japonesa, a jovem Sookee é contratada para trabalhar para uma herdeira nipônica, Hideko, que leva uma vida isolada ao lado do tio autoritário. Só que Sookee guarda um segredo: ela e um vigarista planejam desposar a herdeira, roubar sua fortuna e trancafiá-la em um sanatório. Tudo corre bem com o plano, até que Sookee aos poucos começa a compreender as motivações de Hideko.",8.205,2016-06-01,"Thriller, Drama, Romance",145
Irmão Bajrangi,"Uma menina de 5 anos do Paquistão se perde de seus pais em uma estação indiana de trem. Perdida e faminta ela encontra abrigo na casa de Pavan, um devoto ardoroso de Hanuman, um Hindu e que vem de uma famosa família de lutadores. O filme mostra a tocante história da jornada de Pavan para unir a criança com os pais, onde, contra todas as probabilidades, move o céu e a terra para cumprir a promessa que fez para a menina do outro lado da fronteira.",7.788,2015-07-17,"Comédia, Drama, Ação",163
Haider,"Um jovem retorna à Caxemira após o desaparecimento de seu pai para vingar-se do tio, o homem que teve um papel essencial no destino de seu pai. O filme é uma adaptação da peça Hamlet (1604), de William Shakespeare, e do romance Curfewed Night (2008), de Basharat Peer.",7.202,2014-10-02,"Crime, Drama",150
Queen,"Rani é abandonada por seu noivo dois dias antes de seu casamento, quando ele sente que ela é muito puritana para ele. O casal tinha planos de ir para Paris e Amsterdã para sua lua de mel. Rani decide fazer a viagem sozinha. Sozinha em um lugar desconhecido e longe de sua cultura, ela acaba conhecendo pessoas, vivendo novas experiências e revivendo a mulher em si mesma.",7.339,2014-03-07,"Comédia, Drama",146
Logan,"Em 2029, Logan ganha a vida como chofer de limousine para cuidar do nonagenário Charles Xavier. Debilitado fisicamente e esgotado emocionalmente, ele é procurado por Gabriela, uma mexicana que precisa da ajuda do ex-X-Men para defender a pequena Laura Kinney / X-23. Ao mesmo tempo em que se recusa a voltar à ativa, Logan é perseguido pelo mercenário Donald Pierce, interessado na menina.",7.82,2017-02-28,"Ação, Drama, Ficção científica",135
Relatos Selvagens,Seis contos que exploram os extremos do comportamento humano envolvendo pessoas em desespero.,7.869,2014-08-21,"Drama, Thriller, Comédia",122
Tangerinas,"Ivo, um velho agricultor estoniano, ficou para trás na Gerogia, junto com seu amigo Margus, para a colheita das abundantes tangerinas. Sua vida sombria fica de cabeça para baixo quando ele decide abrigar Ahmed, um mercenário muçulmano checheno, e o georgiano Niko, ambos tendo perdido os seus homens e sido pesadamente feridos em combate. Isso não ajuda em nada visto que a dupla de feridos está constantemente esperando para atacar um ao outro, logo que terminem suas respectivas licenças de saúde.",7.683,2013-10-16,"Drama, Guerra",87
OMG - Oh My God,"Quando um terremoto destrói sua loja e o seguro não cobre os danos, um lojista de Mumbai decide processar Deus.",7.193,2012-09-28,"Comédia, Drama, Fantasia",129
O Grande Hotel Budapeste,"No período entre as duas guerras mundiais, o famoso gerente de um hotel europeu conhece um jovem empregado e os dois tornam-se melhores amigos. Entre as aventuras vividas pelos dois, constam o roubo de um famoso quadro do Renascimento, a batalha pela grande fortuna de uma família e as transformações históricas durante a primeira metade do século XX.",8.042,2014-02-26,"Comédia, Drama",100
Garota Exemplar,"Amy Dunne desaparece no dia do seu aniversário de casamento, deixando o marido Nick em apuros. Ele começa a agir descontroladamente, abusando das mentiras, e se torna o suspeito número um da polícia. Com o apoio da sua irmã gêmea, Margo, Nick tenta provar a sua inocência e, ao mesmo tempo, procura descobrir o que aconteceu com Amy.",7.89,2014-10-01,"Mistério, Thriller, Drama",149
Crianças Lobo,"Depois que seu amante, um lobisomem, morre em um acidente enquanto procura alimento para seus filhos, uma jovem deve encontrar maneiras de criar o filho e a filha do lobisomem que tinha com ela, mantendo sua imagem escondida da sociedade.",8.22,2012-07-21,"Animação, Família, Drama, Fantasia",117
Até o Último Homem,"Desmond T. Doss, foi o médico do Exército Americano da Segunda Guerra Mundial, que serviu durante a Batalha de Okinawa, se recusando a matar pessoas, tornando-se o primeiro homem da história americana a receber a Medalha de Honra sem disparar um tiro.",8.193,2016-10-07,"Drama, História, Guerra",140
Barfi!,"Anos depois de trocar um jovem surdo e mudo por um pretendente mais “adequado”, Shruti percebe que está apaixonada por quem ela abandonou.",7.55,2012-09-13,"Drama, Romance, Comédia",143
